ASSERTION	AAMEAAEBBwAAAAAAAECfQA==
RUN	examples.users.TestUserSimulation	testusersimulation	1635138810260	 	3.0.2
USER	get/post http methods	1	START	1635138811062	1635138811062
USER	get/post http methods	2	START	1635138813011	1635138813011
USER	get/post http methods	3	START	1635138813502	1635138813502
USER	get/post http methods	6	START	1635138813601	1635138813601
USER	get/post http methods	4	START	1635138814034	1635138814034
USER	get/post http methods	7	START	1635138814160	1635138814160
USER	get/post http methods	5	START	1635138814612	1635138814612
USER	get/post http methods	8	START	1635138814610	1635138814610
REQUEST	1		GET /api/users/2	1635138814082	1635138814538	OK	 
REQUEST	3		GET /api/users/2	1635138814091	1635138814538	OK	 
REQUEST	7		GET /api/users/2	1635138814612	1635138814917	OK	 
REQUEST	2		GET /api/users/2	1635138814082	1635138815084	OK	 
USER	get/post http methods	9	START	1635138815160	1635138815160
REQUEST	5		GET /api/users/2	1635138814783	1635138815340	OK	 
REQUEST	6		GET /api/users/2	1635138814082	1635138815330	OK	 
REQUEST	8		GET /api/users/2	1635138814755	1635138815354	OK	 
REQUEST	4		GET /api/users/2	1635138814313	1635138815370	OK	 
REQUEST	1		POST /api/api/users	1635138814857	1635138815401	OK	 
USER	get/post http methods	1	END	1635138811062	1635138815501
REQUEST	3		POST /api/api/users	1635138814958	1635138815539	OK	 
USER	get/post http methods	3	END	1635138813502	1635138815734
REQUEST	7		POST /api/api/users	1635138814947	1635138815785	OK	 
USER	get/post http methods	7	END	1635138814160	1635138815789
REQUEST	2		POST /api/api/users	1635138815247	1635138815804	OK	 
USER	get/post http methods	2	END	1635138813011	1635138815809
USER	get/post http methods	10	START	1635138815759	1635138815759
REQUEST	9		GET /api/users/2	1635138815285	1635138815798	OK	 
REQUEST	10		GET /api/users/2	1635138815849	1635138815999	OK	 
USER	get/post http methods	11	START	1635138816070	1635138816070
REQUEST	8		POST /api/api/users	1635138815441	1635138816108	OK	 
USER	get/post http methods	8	END	1635138814610	1635138816112
REQUEST	6		POST /api/api/users	1635138815478	1635138816101	OK	 
USER	get/post http methods	6	END	1635138813601	1635138816116
REQUEST	4		POST /api/api/users	1635138815462	1635138816119	OK	 
USER	get/post http methods	4	END	1635138814034	1635138816233
REQUEST	5		POST /api/api/users	1635138815443	1635138816165	OK	 
USER	get/post http methods	5	END	1635138814612	1635138816243
REQUEST	9		POST /api/api/users	1635138815890	1635138816358	OK	 
USER	get/post http methods	9	END	1635138815160	1635138816362
REQUEST	11		GET /api/users/2	1635138816239	1635138816393	OK	 
REQUEST	10		POST /api/api/users	1635138816029	1635138816532	OK	 
USER	get/post http methods	10	END	1635138815759	1635138816536
USER	get/post http methods	12	START	1635138816616	1635138816616
REQUEST	12		GET /api/users/2	1635138816662	1635138816837	OK	 
REQUEST	11		POST /api/api/users	1635138816502	1635138816976	OK	 
USER	get/post http methods	11	END	1635138816070	1635138816980
USER	get/post http methods	13	START	1635138817091	1635138817091
REQUEST	13		GET /api/users/2	1635138817177	1635138817365	OK	 
REQUEST	12		POST /api/api/users	1635138816911	1635138817365	OK	 
USER	get/post http methods	12	END	1635138816616	1635138817368
USER	get/post http methods	14	START	1635138817640	1635138817640
REQUEST	13		POST /api/api/users	1635138817386	1635138817810	OK	 
USER	get/post http methods	13	END	1635138817091	1635138817812
REQUEST	14		GET /api/users/2	1635138817670	1635138817857	OK	 
USER	get/post http methods	15	START	1635138818116	1635138818116
REQUEST	15		GET /api/users/2	1635138818149	1635138818299	OK	 
REQUEST	14		POST /api/api/users	1635138817880	1635138818314	OK	 
USER	get/post http methods	14	END	1635138817640	1635138818317
USER	get/post http methods	16	START	1635138818552	1635138818552
REQUEST	16		GET /api/users/2	1635138818586	1635138818765	OK	 
REQUEST	15		POST /api/api/users	1635138818322	1635138818788	OK	 
USER	get/post http methods	15	END	1635138818116	1635138818790
USER	get/post http methods	17	START	1635138819043	1635138819043
REQUEST	17		GET /api/users/2	1635138819074	1635138819234	OK	 
REQUEST	16		POST /api/api/users	1635138818779	1635138819228	OK	 
USER	get/post http methods	16	END	1635138818552	1635138819285
USER	get/post http methods	18	START	1635138819541	1635138819541
REQUEST	18		GET /api/users/2	1635138819589	1635138819770	OK	 
REQUEST	17		POST /api/api/users	1635138819306	1635138819791	OK	 
USER	get/post http methods	17	END	1635138819043	1635138819796
USER	get/post http methods	19	START	1635138820054	1635138820054
REQUEST	18		POST /api/api/users	1635138819793	1635138820231	OK	 
USER	get/post http methods	18	END	1635138819541	1635138820234
REQUEST	19		GET /api/users/2	1635138820108	1635138820316	OK	 
USER	get/post http methods	20	START	1635138820561	1635138820561
REQUEST	20		GET /api/users/2	1635138820579	1635138820713	OK	 
REQUEST	19		POST /api/api/users	1635138820331	1635138820814	OK	 
USER	get/post http methods	19	END	1635138820054	1635138820823
REQUEST	20		POST /api/api/users	1635138820729	1635138821211	OK	 
USER	get/post http methods	20	END	1635138820561	1635138821215
