ASSERTION	AAMEAAEBBwAAAAAAAECfQA==
RUN	examples.users.TestUserSimulation	testusersimulation	1635136368685	 	3.0.2
USER	getCall	1	START	1635136369227	1635136369227
USER	getCall	2	START	1635136371189	1635136371189
USER	getCall	6	START	1635136371712	1635136371712
USER	getCall	3	START	1635136371712	1635136371712
USER	getCall	4	START	1635136372424	1635136372424
USER	getCall	7	START	1635136372426	1635136372426
REQUEST	2		GET /api/users/2	1635136371968	1635136372514	OK	 
REQUEST	1		GET /api/users/2	1635136371968	1635136372518	OK	 
REQUEST	3		GET /api/users/2	1635136372019	1635136372507	OK	 
REQUEST	6		GET /api/users/2	1635136371969	1635136372505	OK	 
USER	getCall	8	START	1635136372873	1635136372873
USER	getCall	5	START	1635136372873	1635136372873
REQUEST	4		GET /api/users/2	1635136372582	1635136372775	OK	 
REQUEST	7		GET /api/users/2	1635136372689	1635136372931	OK	 
USER	getCall	9	START	1635136373229	1635136373229
REQUEST	1		POST /api/api/users	1635136372763	1635136373363	OK	 
USER	getCall	1	END	1635136369227	1635136373389
REQUEST	5		GET /api/users/2	1635136373291	1635136373479	OK	 
REQUEST	9		GET /api/users/2	1635136373298	1635136373524	OK	 
REQUEST	6		POST /api/api/users	1635136373065	1635136373529	OK	 
USER	getCall	6	END	1635136371712	1635136373678
REQUEST	3		POST /api/api/users	1635136373045	1635136373552	OK	 
USER	getCall	3	END	1635136371712	1635136373683
REQUEST	4		POST /api/api/users	1635136373058	1635136373580	OK	 
USER	getCall	4	END	1635136372424	1635136373690
USER	getCall	10	START	1635136373698	1635136373698
REQUEST	8		GET /api/users/2	1635136373286	1635136373616	OK	 
REQUEST	7		POST /api/api/users	1635136373291	1635136373764	OK	 
USER	getCall	7	END	1635136372426	1635136373816
REQUEST	2		POST /api/api/users	1635136373028	1635136373769	OK	 
USER	getCall	2	END	1635136371189	1635136374006
REQUEST	10		GET /api/users/2	1635136373801	1635136373969	OK	 
REQUEST	5		POST /api/api/users	1635136373517	1635136373966	OK	 
USER	getCall	5	END	1635136372873	1635136374051
REQUEST	9		POST /api/api/users	1635136373784	1635136374226	OK	 
USER	getCall	9	END	1635136373229	1635136374229
REQUEST	8		POST /api/api/users	1635136373807	1635136374289	OK	 
USER	getCall	8	END	1635136372873	1635136374290
USER	getCall	11	START	1635136374261	1635136374261
REQUEST	10		POST /api/api/users	1635136374069	1635136374495	OK	 
USER	getCall	10	END	1635136373698	1635136374496
REQUEST	11		GET /api/users/2	1635136374408	1635136374576	OK	 
USER	getCall	12	START	1635136374708	1635136374708
REQUEST	12		GET /api/users/2	1635136374747	1635136374925	OK	 
REQUEST	11		POST /api/api/users	1635136374596	1635136375015	OK	 
USER	getCall	11	END	1635136374261	1635136375017
USER	getCall	13	START	1635136375195	1635136375195
REQUEST	12		POST /api/api/users	1635136374945	1635136375382	OK	 
USER	getCall	12	END	1635136374708	1635136375388
REQUEST	13		GET /api/users/2	1635136375235	1635136375394	OK	 
USER	getCall	14	START	1635136375685	1635136375685
REQUEST	13		POST /api/api/users	1635136375414	1635136375831	OK	 
USER	getCall	13	END	1635136375195	1635136375835
REQUEST	14		GET /api/users/2	1635136375827	1635136376012	OK	 
USER	getCall	15	START	1635136376204	1635136376204
REQUEST	15		GET /api/users/2	1635136376231	1635136376380	OK	 
REQUEST	14		POST /api/api/users	1635136376028	1635136376439	OK	 
USER	getCall	14	END	1635136375685	1635136376445
USER	getCall	16	START	1635136376694	1635136376694
REQUEST	15		POST /api/api/users	1635136376453	1635136376887	OK	 
USER	getCall	15	END	1635136376204	1635136376889
REQUEST	16		GET /api/users/2	1635136376725	1635136376912	OK	 
USER	getCall	17	START	1635136377207	1635136377207
REQUEST	16		POST /api/api/users	1635136376927	1635136377376	OK	 
USER	getCall	16	END	1635136376694	1635136377377
REQUEST	17		GET /api/users/2	1635136377234	1635136377395	OK	 
USER	getCall	18	START	1635136377730	1635136377730
REQUEST	17		POST /api/api/users	1635136377435	1635136377869	OK	 
USER	getCall	17	END	1635136377207	1635136377871
REQUEST	18		GET /api/users/2	1635136377750	1635136377890	OK	 
USER	getCall	19	START	1635136378224	1635136378224
REQUEST	18		POST /api/api/users	1635136377912	1635136378342	OK	 
USER	getCall	18	END	1635136377730	1635136378344
REQUEST	19		GET /api/users/2	1635136378251	1635136378418	OK	 
USER	getCall	20	START	1635136378714	1635136378714
REQUEST	19		POST /api/api/users	1635136378439	1635136378852	OK	 
USER	getCall	19	END	1635136378224	1635136378855
REQUEST	20		GET /api/users/2	1635136378746	1635136378935	OK	 
REQUEST	20		POST /api/api/users	1635136378955	1635136379378	OK	 
USER	getCall	20	END	1635136378714	1635136379379
