ASSERTION	AAMEAAEBBwAAAAAAAECfQA==
RUN	examples.users.TestUserSimulation	testusersimulation	1635137508803	 	3.0.2
USER	get/post http methods	1	START	1635137509185	1635137509185
USER	get/post http methods	2	START	1635137510990	1635137510990
USER	get/post http methods	3	START	1635137511489	1635137511489
USER	get/post http methods	6	START	1635137511670	1635137511670
REQUEST	3		GET /api/users/2	1635137511562	1635137511749	OK	 
REQUEST	1		GET /api/users/2	1635137511379	1635137511716	OK	 
REQUEST	2		GET /api/users/2	1635137511397	1635137511721	OK	 
USER	get/post http methods	4	START	1635137512022	1635137512022
REQUEST	6		GET /api/users/2	1635137511861	1635137512053	OK	 
USER	get/post http methods	7	START	1635137512171	1635137512171
REQUEST	4		GET /api/users/2	1635137512100	1635137512272	OK	 
REQUEST	2		POST /api/api/users	1635137511880	1635137512349	OK	 
USER	get/post http methods	2	END	1635137510990	1635137512365
REQUEST	1		POST /api/api/users	1635137511872	1635137512366	OK	 
USER	get/post http methods	1	END	1635137509185	1635137512370
REQUEST	3		POST /api/api/users	1635137511884	1635137512398	OK	 
USER	get/post http methods	3	END	1635137511489	1635137512401
REQUEST	7		GET /api/users/2	1635137512241	1635137512433	OK	 
USER	get/post http methods	5	START	1635137512522	1635137512522
REQUEST	6		POST /api/api/users	1635137512077	1635137512567	OK	 
USER	get/post http methods	6	END	1635137511670	1635137512570
USER	get/post http methods	8	START	1635137512663	1635137512663
REQUEST	5		GET /api/users/2	1635137512575	1635137512708	OK	 
REQUEST	4		POST /api/api/users	1635137512289	1635137512738	OK	 
USER	get/post http methods	4	END	1635137512022	1635137512743
REQUEST	8		GET /api/users/2	1635137512693	1635137512875	OK	 
REQUEST	7		POST /api/api/users	1635137512457	1635137512911	OK	 
USER	get/post http methods	7	END	1635137512171	1635137512913
USER	get/post http methods	9	START	1635137513165	1635137513165
REQUEST	5		POST /api/api/users	1635137512726	1635137513240	OK	 
USER	get/post http methods	5	END	1635137512522	1635137513242
REQUEST	8		POST /api/api/users	1635137512894	1635137513332	OK	 
USER	get/post http methods	8	END	1635137512663	1635137513338
REQUEST	9		GET /api/users/2	1635137513249	1635137513444	OK	 
USER	get/post http methods	10	START	1635137513668	1635137513668
REQUEST	10		GET /api/users/2	1635137513739	1635137513891	OK	 
REQUEST	9		POST /api/api/users	1635137513491	1635137513966	OK	 
USER	get/post http methods	9	END	1635137513165	1635137513969
USER	get/post http methods	11	START	1635137514174	1635137514174
REQUEST	10		POST /api/api/users	1635137513910	1635137514342	OK	 
USER	get/post http methods	10	END	1635137513668	1635137514347
REQUEST	11		GET /api/users/2	1635137514219	1635137514377	OK	 
USER	get/post http methods	12	START	1635137514666	1635137514666
REQUEST	11		POST /api/api/users	1635137514411	1635137514856	OK	 
USER	get/post http methods	11	END	1635137514174	1635137514863
REQUEST	12		GET /api/users/2	1635137514738	1635137514910	OK	 
USER	get/post http methods	13	START	1635137515176	1635137515176
REQUEST	12		POST /api/api/users	1635137514948	1635137515361	OK	 
USER	get/post http methods	12	END	1635137514666	1635137515364
REQUEST	13		GET /api/users/2	1635137515195	1635137515407	OK	 
USER	get/post http methods	14	START	1635137515657	1635137515657
REQUEST	13		POST /api/api/users	1635137515421	1635137515868	OK	 
USER	get/post http methods	13	END	1635137515176	1635137515870
REQUEST	14		GET /api/users/2	1635137515749	1635137515907	OK	 
USER	get/post http methods	15	START	1635137516156	1635137516156
REQUEST	14		POST /api/api/users	1635137515919	1635137516357	OK	 
USER	get/post http methods	14	END	1635137515657	1635137516361
REQUEST	15		GET /api/users/2	1635137516174	1635137516408	OK	 
USER	get/post http methods	16	START	1635137516649	1635137516649
REQUEST	15		POST /api/api/users	1635137516424	1635137516827	OK	 
USER	get/post http methods	15	END	1635137516156	1635137516829
REQUEST	16		GET /api/users/2	1635137516751	1635137516908	OK	 
USER	get/post http methods	17	START	1635137517149	1635137517149
REQUEST	17		GET /api/users/2	1635137517204	1635137517338	OK	 
REQUEST	16		POST /api/api/users	1635137516928	1635137517349	OK	 
USER	get/post http methods	16	END	1635137516649	1635137517353
USER	get/post http methods	18	START	1635137517669	1635137517669
REQUEST	17		POST /api/api/users	1635137517349	1635137517837	OK	 
USER	get/post http methods	17	END	1635137517149	1635137517851
REQUEST	18		GET /api/users/2	1635137517742	1635137517951	OK	 
USER	get/post http methods	19	START	1635137518186	1635137518186
REQUEST	19		GET /api/users/2	1635137518241	1635137518387	OK	 
REQUEST	18		POST /api/api/users	1635137517970	1635137518418	OK	 
USER	get/post http methods	18	END	1635137517669	1635137518421
USER	get/post http methods	20	START	1635137518665	1635137518665
REQUEST	19		POST /api/api/users	1635137518403	1635137518800	OK	 
USER	get/post http methods	19	END	1635137518186	1635137518803
REQUEST	20		GET /api/users/2	1635137518718	1635137518915	OK	 
REQUEST	20		POST /api/api/users	1635137518931	1635137519356	OK	 
USER	get/post http methods	20	END	1635137518665	1635137519358
